N,M,L,Ground Truth MC JS,Ground Truth MC JS (CI),MC JS,MC JS (CI),Disc JS,Disc JS (CI),Time (s),Syndat JS,Syndat JS (CI),Syndat Time (s),Synthcity JS,Synthcity JS (CI),Synthcity Time (s)
10,2000,2000,0.2484610974788665,0.0930968725662674,0.190346160531044,0.1093371657332526,0.0882116794586181,0.0679069493929364,39.47116870880127,0.0825262424358984,0.0373502580163501,0.0029186248779296,0.0749944339634891,0.03476916096407,0.0034060478210449
20,2000,2000,0.1062129825353622,0.044381611055952,0.1374437600374221,0.072139070270681,0.0373577654361724,0.0340435549302553,33.78145871162415,0.0405283087984334,0.0223466072378576,0.0034629821777343,0.0363061308300575,0.0206439200829917,0.0035283088684082
30,2000,2000,0.0537944659590721,0.0121381336244495,0.056994991004467,0.0058315759138312,0.0282496929168701,0.0131485880323762,31.73329067230225,0.0265046597242905,0.0055728798324674,0.0020203590393066,0.0233684867987222,0.0046663229063163,0.0030427932739257
40,2000,2000,0.0676992788910865,0.0311240834365817,0.0682639546692371,0.0243270952538081,0.0281412065029144,0.0176849509052551,31.39839768409729,0.0251408233893247,0.0100440767849936,0.0020840644836425,0.0218365625912849,0.0084864208763803,0.003429365158081
50,2000,2000,0.0357032086700201,0.0179324288177376,0.0344563567079603,0.0380440044760161,0.0217719435691833,0.0259659910129818,30.54845881462097,0.0197347015913912,0.0090194325658269,0.0032564163208007,0.0174878270923817,0.0084204975577605,0.0039150238037109
60,2000,2000,0.0557120695710182,0.0095734022476592,0.0328169744461774,0.0353542737038531,0.0070488035678863,0.012356870422698,32.02938470840454,0.0238603161277673,0.0060465389000106,0.0022955894470214,0.0212752469515753,0.0057307202062322,0.0033603191375732
70,2000,2000,0.0245089946314692,0.0089988760687725,0.0467689469456672,0.0272993111998876,0.0092364430427551,0.007373961636101,29.0721314907074,0.0189660855535185,0.0052355734926756,0.0024229049682617,0.016604118379065,0.0048878322458656,0.0033157348632812
80,2000,2000,0.0284490652382373,0.0070223220497627,0.0253621980547904,0.0203681901849872,0.0119398117065429,0.0113088652122804,31.7915774345398,0.0178214990516746,0.0044237222694691,0.0022351264953613,0.0154349299485866,0.0041159534093359,0.0033028602600097
90,2000,2000,0.0244469825178384,0.0051897778112227,0.031331118941307,0.0233486507094902,0.0063439071178436,0.0099957273964177,29.06996922492981,0.018642707734327,0.0047304424296053,0.0022817134857177,0.0164990974118823,0.0047137951773347,0.0034132480621337
100,2000,2000,0.0202219597995281,0.0051153809525019,0.0165831423364579,0.0198764969875311,0.0,0.0,29.78727717399597,0.0143110749882335,0.0029442455824978,0.0022590637207031,0.0124916116787372,0.0028290418791747,0.003472900390625
110,2000,2000,0.0185503035783767,0.0068832394363954,0.0196542576886713,0.0160525793314093,0.003497040271759,0.0037936863712128,28.41441564559937,0.0121965487001896,0.0025930812758339,0.0033054828643798,0.0103692195804129,0.0023276872843606,0.0044590950012207
120,2000,2000,0.0200919348746538,0.0058604287635529,0.0288084248080849,0.0228144401190119,0.0091186702251434,0.0077291068562666,28.30593323707581,0.0177763355847396,0.0042160198741024,0.0033241748809814,0.0151337255298881,0.0035593013370859,0.0311745643615722
130,2000,2000,0.0163852209225296,0.0041980694823572,0.0100135463289916,0.0170595163040327,0.0028636574745178,0.0050201206498109,26.69430108070373,0.0110072125947994,0.0014603844898126,0.0024851322174072,0.0093597346302283,0.0012612672705596,0.0033793449401855
140,2000,2000,0.0128528082743287,0.0028090290087223,0.0103503920137882,0.010972803901195,0.0019233763217926,0.0021399184705653,23.68392405509949,0.0117864954416663,0.0029328620400381,0.0021144866943359,0.0099569078391681,0.0025939437788698,0.0031586647033691
150,2000,2000,0.0138053374364972,0.0038489945288974,0.0116707462351769,0.0068795511353499,0.0044610977172851,0.0057624173769079,23.65351347923279,0.011536819220239969,0.0012986905075237749,0.002446556091308594,0.009745525073978786,0.0011188693356390565,0.0032968521118164062
