N,M,L,Analytical KL,Ground Truth MC KL,Ground Truth MC KL (CI),MC KL,MC KL (CI),Disc KL,Disc KL (CI),Time (s)
0.0,2000,2000,-,0.0,0.0,0.0,0.0,-0.002022516302531585,0.002869281205890124,0.34349966049194336
0.1,2000,2000,-,0.0049970589578151705,0.0001359121936762425,0.0055813486222177746,0.0014080198292189831,0.0006550058461471054,0.005103735543649312,0.35486183166503904
0.2,2000,2000,-,0.021106203272938728,0.0002908897066795829,0.022042983397841453,0.0030254882445862,0.001704392209649086,0.005337243213752406,0.31598596572875975
0.3,2000,2000,-,0.051529886573553084,0.0004793534066365897,0.05258767977356911,0.005030170267543676,0.0016744973603636027,0.0031476491349506307,0.30205235481262205
0.4,2000,2000,-,0.10301730185747146,0.0007228765461199636,0.10393194556236267,0.007679049080790754,0.0016420934349298476,0.001567126422102011,0.3324440479278564
0.5,2000,2000,-,0.18913873434066772,0.0010583807789170837,0.1895606756210327,0.011403801720030122,0.0009615836796001531,0.0020607160979241603,0.36273784637451173
0.6,2000,2000,-,0.3389178216457367,0.0015579753685558992,0.3383037209510803,0.017043033412891817,0.002353036217391491,0.002708526284022188,0.309757137298584
0.7,2000,2000,-,0.6235552191734314,0.0023887122767976255,0.6208884716033936,0.02653273800013888,0.004816755768842995,0.0039884076560986245,0.2657987117767334
0.8,2000,2000,-,1.2661895513534547,0.004049869113462978,1.2590100526809693,0.0456617427288283,0.009134096000343562,0.004759661872652377,0.27899937629699706
0.9,2000,2000,-,3.431460666656494,0.009036329663858441,3.4100562572479247,0.10335192341894109,0.01571120824664831,0.006258839209851551,0.28337664604187013
