N,M,L,Ground Truth MC JS,Ground Truth MC JS (CI),MC JS,MC JS (CI),Disc JS,Disc JS (CI),Time (s),Syndat JS,Syndat JS (CI),Syndat Time (s),Synthcity JS,Synthcity JS (CI),Synthcity Time (s)
10,2000,2000,0.2484610992076343,0.0930968901592369,0.1903461618707461,0.1093371687404943,0.1832721769809722,0.1080682290534734,905.2925646305084,0.0825262424358984,0.0373502580163501,0.0029186248779296,0.0749944339634891,0.03476916096407,0.0034060478210449
20,2000,2000,0.106213000029313,0.0443816241746368,0.1374437583183957,0.0721390630375855,0.1257454574108124,0.066697869309437,703.023383140564,0.0405283087984334,0.0223466072378576,0.0034629821777343,0.0363061308300575,0.0206439200829917,0.0035283088684082
30,2000,2000,0.0537944726490664,0.0121381458912484,0.0569949924043807,0.0058315738764963,0.0531335115432739,0.0080450534998261,948.5647814273834,0.0265046597242905,0.0055728798324674,0.0020203590393066,0.0233684867987222,0.0046663229063163,0.0030427932739257
40,2000,2000,0.0676992788223405,0.0311240885802932,0.0682639543853916,0.0243270955816004,0.0385512351989746,0.0337809618050825,654.0665297985076,0.0251408233893247,0.0100440767849936,0.0020840644836425,0.0218365625912849,0.0084864208763803,0.003429365158081
50,2000,2000,0.0357032022871264,0.0179324165604073,0.0344563540238445,0.0380440036177233,0.0243365347385406,0.0292209278535927,908.7362516403198,0.0197347015913912,0.0090194325658269,0.0032564163208007,0.0174878270923817,0.0084204975577605,0.0039150238037109
60,2000,2000,0.0557120787947499,0.0095734135254948,0.0328169752072405,0.0353542749187856,0.030080908536911,0.0232755829715875,910.5839526176452,0.0238603161277673,0.0060465389000106,0.0022955894470214,0.0212752469515753,0.0057307202062322,0.0033603191375732
70,2000,2000,0.02450899350437,0.0089988738962129,0.0467689452381019,0.0272993089790967,0.0162208557128906,0.0210905628438119,673.3102957248688,0.0189660855535185,0.0052355734926756,0.0024229049682617,0.016604118379065,0.0048878322458656,0.0033157348632812
80,2000,2000,0.0284490649630246,0.0070223201799225,0.0253621992429786,0.0203681889544765,0.0028298616409301,0.0208287576504527,527.8324952602386,0.0178214990516746,0.0044237222694691,0.0022351264953613,0.0154349299485866,0.0041159534093359,0.0033028602600097
90,2000,2000,0.0244469796603513,0.0051897786234841,0.03133111888848,0.0233486500091257,0.009428185224533,0.0291324217248575,830.4038470745087,0.018642707734327,0.0047304424296053,0.0022817134857177,0.0164990974118823,0.0047137951773347,0.0034132480621337
100,2000,2000,0.0202219562966904,0.0051153761325497,0.0165831430716102,0.0198764982143288,-0.0004420578479766,0.0147841211258966,838.7983684539795,0.0143110749882335,0.0029442455824978,0.0022590637207031,0.0124916116787372,0.0028290418791747,0.003472900390625
110,2000,2000,0.0185502973225235,0.006883233004102,0.0196542591350135,0.0160525816079024,0.0035092175006866,0.013998404660297,521.4776881694794,0.0121965487001896,0.0025930812758339,0.0033054828643798,0.0103692195804129,0.0023276872843606,0.0044590950012207
120,2000,2000,0.0200919361578742,0.0058604315316912,0.0288084248573839,0.0228144408358178,0.0051450729370117,0.0125968102525697,515.9652910709381,0.0177763355847396,0.0042160198741024,0.0033241748809814,0.0151337255298881,0.0035593013370859,0.0311745643615722
130,2000,2000,0.0163852212326149,0.0041980705647039,0.0100135483651157,0.0170595167823026,-0.0042130947113037,0.0039759037957984,421.50049180984496,0.0110072125947994,0.0014603844898126,0.0024851322174072,0.0093597346302283,0.0012612672705596,0.0033793449401855
140,2000,2000,0.012852806448035,0.0028090291102588,0.0103503908311271,0.0109728044700468,-0.0052677392959594,0.002666720174655,333.2624254703522,0.0117864954416663,0.0029328620400381,0.0021144866943359,0.0099569078391681,0.0025939437788698,0.0031586647033691
150,2000,2000,0.0138053363951895,0.0038489914560666,0.0116707454862529,0.0068795496759164,0.0053009450435638,0.0104558676251746,409.3804738998413,0.011536819220239969,0.0012986905075237749,0.002446556091308594,0.009745525073978786,0.0011188693356390565,0.0032968521118164062
