N,M,L,Analytical KL,Ground Truth MC KL,Ground Truth MC KL (CI),MC KL,MC KL (CI),Disc KL,Disc KL (CI),Time (s)
0.0,2000,2000,-,0.0,0.0,0.0,0.0,-0.00850077421637252,0.014101123387143963,1065.1155148506164
0.1,2000,2000,-,0.004066284280270338,0.00010567326756325722,0.003539166506379843,0.001780597749482796,0.0005827666682307608,0.004286905363789824,1161.6774896144866
0.2,2000,2000,-,0.016668593510985374,0.00022397129506621796,0.015637196227908136,0.0032847487261815898,0.007626984547823667,0.005592302018947871,1182.7955490112304
0.3,2000,2000,-,0.0389763742685318,0.00035316783831737736,0.037493301928043364,0.004502322396084176,0.03182613104581833,0.010905354190428719,1539.6503706932067
0.4,2000,2000,-,0.0730788454413414,0.0004903734608546071,0.07122181057929992,0.005432844105548338,0.05981605425477028,0.01374732496737074,1686.1909925460816
0.5,2000,2000,-,0.12250295132398606,0.0006317687152054337,0.12037313133478164,0.006078593562852438,0.10394141674041749,0.016685018075802464,1654.2517220973969
0.6,2000,2000,-,0.19339225590229034,0.0007722735814728298,0.19112223982810975,0.006449488063736994,0.16381444036960602,0.0181236257916086,770.4698339939117
0.7,2000,2000,-,0.2974698007106781,0.000904799480500587,0.295246022939682,0.006597507918952709,0.25893705487251284,0.02178843152682878,734.2815537929534
0.8,2000,2000,-,0.46125572323799136,0.0010176007811826323,0.459362530708313,0.006712414183466317,0.4106206715106964,0.023807120486778174,520.0144632816315
0.9,2000,2000,-,0.7696228504180909,0.0010856865566196074,0.7685556888580323,0.007333208285008548,0.7049887657165528,0.02820647736477728,649.852578830719
