N,M,L,Analytical KL,Ground Truth MC KL,Ground Truth MC KL (CI),MC KL,MC KL (CI),Disc KL,Disc KL (CI),Time (s)
0.0,2000,2000,-,0.0,0.0,0.0,0.0,-0.002038882416673005,0.004872432127416122,0.5295377731323242
0.1,2000,2000,-,0.0049970589578151705,0.0001359121936762425,0.0055813486222177746,0.0014080198292189831,-0.0027532453183084725,0.005124371950185365,0.43191046714782716
0.2,2000,2000,-,0.021106203272938728,0.0002908897066795829,0.022042983397841453,0.0030254882445862,0.02225358651485294,0.010945605960239142,0.4287533760070801
0.3,2000,2000,-,0.051529886573553084,0.0004793534066365897,0.05258767977356911,0.005030170267543676,0.06015333086252213,0.010293832921617396,0.433634614944458
0.4,2000,2000,-,0.10301730185747146,0.0007228765461199636,0.10393194556236267,0.007679049080790754,0.12053815424442291,0.013522956111903234,0.4246345043182373
0.5,2000,2000,-,0.18913873434066772,0.0010583807789170837,0.1895606756210327,0.011403801720030122,0.20859873592853545,0.022235180744223676,0.4256244659423828
0.6,2000,2000,-,0.3389178216457367,0.0015579753685558992,0.3383037209510803,0.017043033412891817,0.35916559100151063,0.03467234140892268,0.5023541927337647
0.7,2000,2000,-,0.6235552191734314,0.0023887122767976255,0.6208884716033936,0.02653273800013888,0.6193886399269104,0.04718252509390851,0.4273375034332275
0.8,2000,2000,-,1.2661895513534547,0.004049869113462978,1.2590100526809693,0.0456617427288283,1.1314094543457032,0.06592052868190315,0.4387186527252197
0.9,2000,2000,-,3.431460666656494,0.009036329663858441,3.4100562572479247,0.10335192341894109,2.3783019542694093,0.09170446186677603,0.42667407989501954
