N,M,L,Analytical KL,Ground Truth MC KL,Ground Truth MC KL (CI),MC KL,MC KL (CI),Disc KL,Disc KL (CI),Time (s)
10,2000,2000,-,1.7713332295417785,1.010051427009596,1.7359559237957,0.998780376121532,0.7175310581922532,0.29396192868572085,5.226573276519775
20,2000,2000,-,0.495554593205452,0.2601884894819858,0.49086280167102814,0.25130115888645366,0.18115179147571325,0.08229454765297166,5.294514179229736
30,2000,2000,-,0.20256620049476623,0.06296158480916969,0.2071288302540779,0.050155622438995934,0.08531684800982475,0.03571282172043655,5.217248582839966
40,2000,2000,-,0.37175471931695936,0.3032218423118906,0.3620156109333038,0.27408468408564635,0.20325796939432622,0.18502508718903954,5.275349378585815
50,2000,2000,-,0.11185757108032704,0.05552017659699471,0.11909560933709144,0.061221471209840644,0.06733768880367279,0.057659308698505815,5.207916688919068
60,2000,2000,-,0.1922196239233017,0.03140431483019832,0.19818700850009918,0.03551291791391072,0.14612290784716606,0.10882998088447794,5.306514263153076
70,2000,2000,-,0.07506721913814544,0.029246441138130966,0.07632982060313225,0.02765322694616337,0.1392457745037973,0.08074578511645876,5.1993426322937015
80,2000,2000,-,0.09076291471719741,0.030359572867833463,0.09745888113975525,0.03843829935208746,0.1491776056587696,0.21724137978806726,5.26777024269104
90,2000,2000,-,0.07224818915128708,0.025744944359581374,0.07370455041527749,0.02762030251019523,0.15310470564290882,0.1952242692859843,5.26034984588623
100,2000,2000,-,0.0693698912858963,0.02518059404727582,0.06451052650809289,0.021340096615262785,0.09966630071867258,0.10678716290306094,5.2404285907745365
110,2000,2000,-,0.05907043740153313,0.021397147969233588,0.059331570938229564,0.018591050358246118,0.05774477310478687,0.046805405321797555,5.283047533035278
120,2000,2000,-,0.06324624195694924,0.02486428805645485,0.06371487416327,0.028737663320578036,0.09764513866975903,0.1374203367266503,5.275880002975464
130,2000,2000,-,0.04942902028560638,0.017498096597181406,0.04894992485642433,0.021008589661574012,0.05111550418660045,0.04027183560579757,5.274203586578369
140,2000,2000,-,0.042732569575309756,0.00879293065057171,0.03918992355465889,0.009752489843936889,0.12410739825572818,0.062033066304499826,5.2301019668579105
150,2000,2000,-,0.04726428613066673,0.014417018701278669,0.044644572958350184,0.012073829030683292,0.04147525131702423,0.011838475795383375,5.305834436416626
